,tfidf,w2v,d2v,bert,sbert
spark-stop,0.21223709369024857,0.20267686424474188,0.22179732313575526,0.17208413001912046,0.2530274059910771
wildfly-stop,0.4167933130699088,0.4194528875379939,0.40387537993920974,0.35904255319148937,0.4148936170212766
cassandra-lemma,0.23039555863983344,0.21651630811936157,0.2387231089521166,0.1596113809854268,0.2359472588480222
groovy-lemma,0.6164639850327409,0.6333021515434986,0.6286248830682881,0.6538821328344246,0.618334892422825
hadoop-lemma,0.14382593953094094,0.136196665724781,0.1347838372421588,0.09268154846001696,0.13111048318734106
hbase-lemma,0.21149674620390455,0.19739696312364424,0.2077006507592191,0.17516268980477223,0.20010845986984815
hive-lemma,0.28787090057261844,0.2925559604372723,0.3248308172826653,0.2581988547631442,0.31650182196772514
infinispan-lemma,0.4212218649517685,0.44265809217577706,0.4855305466237942,0.39013933547695606,0.40943193997856375
lucene-lemma,0.3602015113350126,0.3669185558354324,0.3904282115869018,0.31905961376994124,0.3929471032745592
spark-lemma,0.207138304652645,0.20140216698534097,0.23135755258126195,0.16634799235181644,0.23518164435946462
wildfly-lemma,0.4027355623100304,0.4027355623100304,0.4004559270516717,0.3506838905775076,0.4247720364741641
